@cat01,@cat02,@cat03,@area,@time,@unit,$
001,001,01079,00000,1301,千人,1409
001,001,01079,00000,1701,千人,1447
001,001,01079,00000,1801,千人,1175
001,001,01079,00000,1901,千人,1088
001,001,01080,00000,1601,千人,1388
001,001,01080,00000,1301,千人,1420
001,001,01080,00000,1701,千人,1370
001,001,01080,00000,1801,千人,1405
001,001,01080,00000,1901,千人,1141
001,001,01081,00000,1601,千人,1230
001,001,01081,00000,1301,千人,1346
001,001,01081,00000,1701,千人,1375
001,001,01081,00000,1801,千人,1327
001,001,01081,00000,1901,千人,1360
001,001,01082,00000,1601,千人,1038
001,001,01082,00000,1301,千人,1188
001,001,01082,00000,1701,千人,1299
001,001,01082,00000,1801,千人,1326
001,001,01082,00000,1901,千人,1279
001,001,01083,00000,1601,千人,1070
001,001,01083,00000,1301,千人,998
001,001,01083,00000,1701,千人,1142
001,001,01083,00000,1801,千人,1247
001,001,01083,00000,1901,千人,1273
001,001,01084,00000,1601,千人,1056
001,001,01084,00000,1301,千人,1024
001,001,01084,00000,1701,千人,954
001,001,01084,00000,1801,千人,1090
001,001,01084,00000,1901,千人,1191
001,001,01085,00000,1601,千人,1010
001,001,01085,00000,1301,千人,1005
001,001,01085,00000,1701,千人,973
001,001,01085,00000,1801,千人,905
001,001,01085,00000,1901,千人,1035
001,001,01086,00000,1601,千人,911
001,001,01086,00000,1301,千人,955
001,001,01086,00000,1701,千人,948
001,001,01086,00000,1801,千人,916
001,001,01086,00000,1901,千人,852
001,001,01087,00000,1601,千人,810
001,001,01087,00000,1301,千人,855
001,001,01087,00000,1701,千人,894
001,001,01087,00000,1801,千人,886
001,001,01087,00000,1901,千人,856
001,001,01088,00000,1601,千人,754
001,001,01088,00000,1301,千人,753
001,001,01088,00000,1701,千人,792
001,001,01088,00000,1801,千人,827
001,001,01088,00000,1901,千人,821
001,001,01089,00000,1601,千人,675
001,001,01089,00000,1301,千人,694
001,001,01089,00000,1701,千人,691
001,001,01089,00000,1801,千人,725
001,001,01089,00000,1901,千人,758
001,001,01090,00000,1601,千人,592
001,001,01090,00000,1301,千人,615
001,001,01090,00000,1701,千人,630
001,001,01090,00000,1801,千人,624
001,001,01090,00000,1901,千人,657
001,001,01091,00000,1601,千人,503
001,001,01091,00000,1301,千人,532
001,001,01091,00000,1701,千人,550
001,001,01091,00000,1801,千人,562
001,001,01091,00000,1901,千人,558
001,001,01092,00000,1601,千人,433
001,001,01092,00000,1301,千人,445
001,001,01092,00000,1701,千人,469
001,001,01092,00000,1801,千人,483
001,001,01092,00000,1901,千人,494
001,001,01093,00000,1601,千人,365
001,001,01093,00000,1301,千人,378
001,001,01093,00000,1701,千人,386
001,001,01093,00000,1801,千人,405
001,001,01093,00000,1901,千人,419
001,001,01094,00000,1601,千人,282
001,001,01094,00000,1301,千人,313
001,001,01094,00000,1701,千人,322
001,001,01094,00000,1801,千人,327
001,001,01094,00000,1901,千人,344
001,001,01095,00000,1601,千人,228
001,001,01095,00000,1301,千人,236
001,001,01095,00000,1701,千人,262
001,001,01095,00000,1801,千人,268
